shapeName,shapeID,tehsil_area_km2,road_length_km,road_density_km_per_km2,tri_mean,forest_pct,water_pct,dist_to_roads_mean_m,spi_no_snow,ai,priority_high_scenic_low_access,spi_source,spi,spi_z,ai_z,road_density_z,dist_to_roads_z,tri_z,forest_z,water_z,gap_index,spi_local_I,spi_local_p,spi_quadrant,spi_cluster,ai_local_I,ai_local_p,ai_quadrant,ai_cluster,gap_local_I,gap_local_p,gap_quadrant,gap_cluster,spi_ai_bv_local_I,spi_ai_bv_local_p,spi_ai_bv_quadrant,spi_ai_bv_cluster
DAREL TANGIR,9618217B87521623220935,2682.0354177087884,27.61022921453728,0.010294505819063408,50.63146055777185,0.19127231510342874,9.797020178669968,19110.7049298037,0.3241781805584338,-0.9097283522590293,True,merged_from_tehsil_spi_ai.csv,0.3221708660226038,0.5090629427224321,-1.0018331203191047,-0.8146192092344908,1.0048374952835677,0.8189655530532168,-0.24253253974459063,0.04299183594764775,1.5108960630415367,0.526105601280625,0.008,1,HH,1.2143336410427792,0.001,3,LL,1.0560334826008273,0.004,1,HH,-0.6170411460934551,0.001,4,HL
CHILAS,9618217B41750222117386,4219.784738764563,51.301140630058484,0.012157288536257905,50.24708171535301,0.4068971074047216,14.758255247953667,16652.20123522967,0.4194936265788732,-0.7611736559189606,True,merged_from_tehsil_spi_ai.csv,0.4168961178481212,0.6587385358005413,-0.8382381146200274,-0.791606762458483,0.7307405493794382,0.7910315191163058,-0.17507166256532034,0.41962445293424977,1.4969766504205686,0.48620986382493997,0.034,1,HH,0.6514515289338157,0.03,3,LL,0.706016372381598,0.025,1,HH,-0.51195026667263,0.017,4,HL
PALAS,9618217B98955281089867,1410.3437231088728,32.62046095079646,0.02312944030331129,57.39468140814967,0.8218692384059,5.9608566160828245,12008.022770700982,0.5449780391506398,-0.4345115788259516,True,merged_from_tehsil_spi_ai.csv,0.5416035296823877,0.8557890103868927,-0.4785033793318968,-0.6560589842732334,0.21296417337866985,1.3104703392386572,-0.045242510437145944,-0.2482308740406627,1.3342923897187895,0.5064833766151928,0.064,1,Not Significant,0.352092599001108,0.03,3,LL,0.5513762395058901,0.036,1,HH,-0.6297071031858054,0.03,4,HL
KHARMANG,9618217B70387484269248,2789.4386265053054,85.04600533902516,0.03048857376925816,48.477703655288664,0.4706902979724111,27.67537067309071,10017.426837036528,0.5955829075845748,-0.2780898340438232,True,merged_from_tehsil_spi_ai.csv,0.5918950522649263,0.935254763438761,-0.30624483174271677,-0.565145714765506,-0.008966046677859607,0.6624451836509255,-0.15511317565929084,1.4002284595067054,1.2414995951814778,0.6484277467318038,0.119,1,Not Significant,0.03519293626157931,0.398,3,Not Significant,0.3123176179910705,0.225,1,Not Significant,-0.10747727917802331,0.422,4,Not Significant
BISHAM,9618217B47007823281887,184.0247036565032,1.4756125511302218,0.008018556866607272,51.499823465529666,2.2980387895909162,6.057478133318846,9368.596808824754,0.4809394927485833,-0.38071607666581775,True,merged_from_tehsil_spi_ai.csv,0.4779615106000441,0.7552281064329582,-0.41926139170516113,-0.8427358294123872,-0.08130367608075173,0.8820722495150112,0.4165953502533932,-0.24089584266528524,1.1744894981381193,0.24087796761636052,0.239,1,Not Significant,0.06340101615706188,0.346,3,Not Significant,0.1718758418194967,0.26,1,Not Significant,-0.11420614997122285,0.357,4,Not Significant
ASTORE,9618217B70325037560475,5206.053764504698,152.91280911561407,0.02937211485562945,48.84533952615123,0.26411223713629345,19.301130208293316,12384.744176464155,0.43956295053425926,-0.4169514094317277,True,merged_from_tehsil_spi_ai.csv,0.4368411723488804,0.690253763301601,-0.45916534369316775,-0.578938225878222,0.25496459298523344,0.6891624525528139,-0.21974367125890842,0.7644972237386093,1.1494191069947688,0.5272432550319853,0.031,1,HH,0.2397623754594677,0.091,3,Not Significant,0.4600820325348485,0.043,1,HH,-0.3604298195240547,0.092,4,Not Significant
SHARINGAL,9618217B41054895723693,1972.7634896687232,51.107081034727685,0.025906339661278834,50.09264686182627,0.3968616002189581,10.801427282587762,11362.226338202807,0.34261029262750753,-0.3813592400414433,True,merged_from_tehsil_spi_ai.csv,0.340488846269423,0.5380072263701128,-0.41996967167673493,-0.6217537225335272,0.14096475754935933,0.7798082467522217,-0.17821139483110032,0.11924149370133899,0.9579768980468477,0.30267749751078915,0.102,1,Not Significant,0.34388257568177283,0.03,3,LL,0.41190066063041453,0.055,1,Not Significant,-0.44053493196520743,0.04,4,HL
ATHUMQAM,9618217B55768510626440,3494.316731916934,148.81638611424663,0.04258812166480627,54.25493550683442,0.6035560872165734,8.816097118441801,9861.380829848113,0.4685139767227029,-0.1946533983982836,True,merged_from_tehsil_spi_ai.csv,0.4656129334936523,0.7357160907196143,-0.21436093644198578,-0.41567030929287424,-0.02636351249630705,1.0822950109383318,-0.11354447387010654,-0.031475028467543346,0.9500770271616001,0.3843907696320978,0.155,1,Not Significant,0.11160028336515657,0.143,3,Not Significant,0.30845603312564934,0.137,1,Not Significant,-0.3830274562307448,0.141,4,Not Significant
ALPURI,9618217B67800644266725,571.833679362834,11.416150852314793,0.019964110657202362,50.3837558736364,0.05071792091502125,0.26583186134769754,11585.111653642987,0.13252365466243843,-0.4304884649760861,True,merged_from_tehsil_spi_ai.csv,0.1317030668675196,0.2081043255489304,-0.4740729483229024,-0.695162836449459,0.16581409350271326,0.8009640652256643,-0.286506716471457,-0.6805692025466443,0.6821772738718328,0.03296660939027863,0.293,1,Not Significant,0.06238294004705351,0.334,3,Not Significant,0.061576161673931026,0.333,1,Not Significant,-0.027384308069417565,0.314,4,Not Significant
SKARDU,9618217B88498185372954,1932.1847771181483,105.98208656943164,0.05485090650983382,41.874683679039,0.8167405942848862,26.592204216203346,8783.162483726981,0.38226031775793107,-0.05880247322432813,True,merged_from_tehsil_spi_ai.csv,0.3798933580477349,0.6002703880583605,-0.06475588573943392,-0.2641783070496696,-0.14657336060101334,0.18258270489962464,-0.046847070040201486,1.3179997782222093,0.6650262737977944,0.556777089102676,0.011,1,HH,0.04284569267285264,0.055,3,Not Significant,0.3289486463444413,0.018,1,HH,-0.3971685395649001,0.042,4,HL
HATTIAN BALA,9618217B68754169353282,724.0401355896437,29.398694720436346,0.04060368103281269,48.7239807334394,0.5496706119574074,0.6339166102724875,11719.436505599719,0.12824842786979443,-0.31048778792930015,True,merged_from_tehsil_spi_ai.csv,0.1274543123219284,0.20139085850398594,-0.3419228922895207,-0.4401856937241178,0.18078988213448247,0.6803429228075714,-0.13040320977616038,-0.652626014948316,0.5433137507935066,-0.03520285104251507,0.38,4,Not Significant,-0.27387201068749956,0.088,2,Not Significant,-0.16501096394899636,0.159,4,Not Significant,0.16130923256775095,0.08,1,Not Significant
CHIKSAR,9618217B39481930993585,240.65880789705253,0.0,0.0,48.27333210526169,0.5856941098280303,0.6853867242668439,6752.148410222553,0.11707083089522935,-0.2843928560274564,True,merged_from_tehsil_spi_ai.csv,0.1163459271396068,0.1838384729651578,-0.3131859984829012,-0.9417954843092847,-0.37300977225437193,0.6475928526062007,-0.11913281392102092,-0.6487186565064004,0.49702447144805895,0.05663617471520632,0.22,1,Not Significant,-0.08485385360656726,0.257,2,Not Significant,0.0057452764672536166,0.471,1,Not Significant,0.04980874926658654,0.262,1,Not Significant
GULTARI,9618217B83227364220136,3527.7410040902296,139.85608607964548,0.03964465813037004,35.52387122595366,0.38752328116273993,23.18506150195746,8661.356374036286,0.06471244016141232,-0.14593991437011425,True,merged_from_tehsil_spi_ai.csv,0.0643117400848024,0.10161913168421857,-0.16071549208008462,-0.45203327170287017,-0.16015344296264167,-0.27895105037958745,-0.18113300318693407,1.0593462254288448,0.26233462376430317,0.07446311790712383,0.113,1,Not Significant,0.043924459927564434,0.306,3,Not Significant,0.0821480871011943,0.183,1,Not Significant,-0.027773087832211947,0.319,4,Not Significant
MARTUNG,9618217B75574497464279,151.34601738305216,2.552634656753474,0.016866216243357324,42.557544136129316,2.8820729772607088,0.38339502908514017,3520.6259562927603,0.1275104419290481,-7.177019281467967e-05,True,merged_from_tehsil_spi_ai.csv,0.1267208959975071,0.20023198564574193,-7.90365124213299e-05,-0.7334336071938159,-0.7332900668081865,0.23220834782653235,0.5993176531128614,-0.6716443838456871,0.20031102215816327,0.01738140354861938,0.421,1,Not Significant,-5.499764369445874e-05,0.081,2,Not Significant,-0.037972278706679616,0.251,4,Not Significant,0.13933164641775533,0.075,1,Not Significant
