shapeName,shapeID,tehsil_area_km2,road_length_km,road_density_km_per_km2,tri_mean,vegetation_pct,water_pct,dist_to_roads_mean_m,spi_no_snow,ai,priority_high_scenic_low_access
BALAKOT,9618217B1796422743035,2436.4136507361986,247.26374394663722,0.10148676677785104,48.584196617764825,19.65788112846695,8.720830015841877,2506.0667376391007,0.3655104215258542,-0.48913069211342397,True
MANSEHRA,9618217B1764376648259,1368.0828749983593,523.2306518685527,0.3824553771051189,28.145216726738653,27.753130093482536,5.117054167245298,980.5184139446686,-0.22671227285981035,0.4694463890059487,False
ALPURI,9618217B67800644266725,571.833679362834,98.93241857904415,0.1730090796493128,50.3837558736364,40.56034558141975,0.26583186134769754,1218.179106126767,0.7179349266342988,-0.061086094835195504,True
BISHAM,9618217B47007823281887,184.0247036565032,88.92512975772806,0.48322387152821566,51.499823465529666,30.890422122018794,6.057478133318846,775.6808913369696,0.6551202732975994,0.7432090682715088,False
CHIKSAR,9618217B39481930993585,240.65880789705253,64.69321073441927,0.26881713285180614,48.27333210526169,28.017778516241588,0.6853867242668439,717.9163686015969,0.38808699733495144,0.26170224857903757,False
MARTUNG,9618217B75574497464279,151.34601738305216,54.44846664458016,0.35976147629159444,42.557544136129316,27.99444738233739,0.38339502908514017,368.32005895577305,0.18672439453092354,0.5424759450545749,False
PURAN,9618217B85285460066544,241.31924046493998,80.1361644015092,0.3320753216656662,42.089660269118326,25.142975549108993,0.0,646.9835904630052,0.10359070052255527,0.4217634959709573,False
BABUZAI,9618217B96227356091196,325.58460853057363,248.23085417755996,0.7624158135050483,35.003185800705154,17.35859485352822,0.411472087453172,544.2475270149068,-0.2959835413525721,1.4329440002067675,False
BAHRAIN,9618217B66331326355874,3185.3552113610567,114.94050073527615,0.03608404498353065,52.762072977370366,16.235036308438062,17.91781389610104,5376.858351996497,0.6003064440697601,-1.226930479643408,True
BARIKOT,9618217B68002200879702,350.72760825874815,115.56195980596621,0.3294920533336251,30.24064069335084,13.618865664832189,0.35644016082580054,857.2685712877259,-0.538904641037514,0.3727989168624755,False
CHARBAGH,9618217B24557098667068,134.9929750202724,49.71831074101418,0.36830294860564255,31.91158892184401,16.60620419041978,1.0068853187236249,490.78655356510745,-0.4069846124104778,0.5370742660390385,False
KABAL,9618217B36757297695869,405.76650407581604,195.12433844409438,0.4808783782892934,23.437610182947232,14.44693590912451,0.6825518074070424,604.8499572229777,-0.7482307707368767,0.7727615144801943,False
KHAWAZA KHELA,9618217B23020330942802,286.53234357053367,74.78139387835975,0.26098761817425103,34.09889822438957,25.033158813263523,0.34904013961605584,1287.1243150960713,-0.16577352298264153,0.12723705160698964,False
MATTA,9618217B40124352215218,680.4163559458374,167.79040899228767,0.24659961143797687,34.727050057040735,25.489792618939138,0.9244697893854995,1330.7792455695953,-0.12435884735124957,0.08520088714325445,False
TORGHER,9618217B27486600301498,467.13520262330667,194.2472795025379,0.41582667804031254,46.94733252310115,36.214388150431304,0.717053019114279,174.96228229318004,0.5165924226739602,0.7110330866634256,False
DIR,9618217B75611380767926,1129.0781698158198,218.80266676702985,0.1937887673470136,40.68742824948009,32.9317553681525,3.801112607185883,1444.0340792257402,0.2881982085562417,-0.05948064298925673,True
SHARINGAL,9618217B41054895723693,1972.7634896687232,60.82785634909492,0.030833831154949778,50.09264686182627,29.541607112084257,10.801427282587762,4520.84891082945,0.6632183894154381,-1.063885404213896,True
WARI,9618217B67850657595713,487.6850083127212,169.82330833152167,0.3482233520342804,35.397341377711626,29.61231728068557,0.03280234536769379,652.8658324812411,-0.030206792709812653,0.4577147902326052,False
