shapeName,shapeISO,shapeID,shapeGroup,shapeType
DE-EXCLUDED AREA D.G.KHAN,,9618217B85950255786241,PAK,ADM3
DERA GHAZI KHAN,,9618217B12999720718980,PAK,ADM3
TAUNSA,,9618217B56078178956611,PAK,ADM3
CHAK JHUMRA,,9618217B96433352493749,PAK,ADM3
FAISALABAD CITY,,9618217B49237159452791,PAK,ADM3
FAISALABAD SADDAR,,9618217B20006160177590,PAK,ADM3
JARANWALA,,9618217B34983463675633,PAK,ADM3
SAMUNDARI,,9618217B59102898761017,PAK,ADM3
TANDLIANWALA,,9618217B47443696449960,PAK,ADM3
GUJRANWALA,,9618217B3934260130404,PAK,ADM3
GUJRANWALA CITY,,9618217B99363720613400,PAK,ADM3
KAMOKE,,9618217B79627750692708,PAK,ADM3
NOWSHERA VIRKHAN,,9618217B8960364895621,PAK,ADM3
WAZIRABAD,,9618217B81659950936026,PAK,ADM3
GUJRAT,,9618217B61923659220021,PAK,ADM3
KHARIAN,,9618217B29572971440693,PAK,ADM3
SARAI ALAMGIR,,9618217B44942663525229,PAK,ADM3
HAFIZABAD,,9618217B14601730863516,PAK,ADM3
PINDI BHATTIAN,,9618217B88762426965199,PAK,ADM3
18-HAZARI,,9618217B97650349828759,PAK,ADM3
AHMEDPUR SIAL,,9618217B8917693813131,PAK,ADM3
JHANG,,9618217B12490857325853,PAK,ADM3
SHORKOT,,9618217B73902443176892,PAK,ADM3
DINA,,9618217B61242270997195,PAK,ADM3
JHELUM,,9618217B22857768344293,PAK,ADM3
PIND DADAN KHAN,,9618217B13521614852985,PAK,ADM3
SOHAWA,,9618217B97272924784682,PAK,ADM3
CHUNIAN,,9618217B67240081969707,PAK,ADM3
KASUR,,9618217B57329099303802,PAK,ADM3
KOT RADHA KISHAN,,9618217B52082409863754,PAK,ADM3
PATTOKI,,9618217B53639078484691,PAK,ADM3
JAHANIAN,,9618217B47428091720855,PAK,ADM3
KABIRWALA,,9618217B44181858694402,PAK,ADM3
KHANEWAL,,9618217B13227622316788,PAK,ADM3
KHUSHAB,,9618217B34004324628587,PAK,ADM3
NOORPUR,,9618217B85617072134869,PAK,ADM3
QAIDABAD,,9618217B29615375410228,PAK,ADM3
LAHORE CANTT,,9618217B49075471599752,PAK,ADM3
LAHORE CITY,,9618217B65699035418342,PAK,ADM3
CHAUBARA,,9618217B97282778757668,PAK,ADM3
KAROR LAL ESAN,,9618217B25737601938543,PAK,ADM3
LAYYAH,,9618217B94010131906460,PAK,ADM3
DUNYA PUR,,9618217B46434483477845,PAK,ADM3
KARORPACCA,,9618217B76392119464219,PAK,ADM3
LODHRAN,,9618217B75337823866281,PAK,ADM3
MALAKWAL,,9618217B9300245059383,PAK,ADM3
MANDI BAHAUDDIN,,9618217B95869385333709,PAK,ADM3
PHALIA,,9618217B39885459266624,PAK,ADM3
ISAKHEL,,9618217B2809625814941,PAK,ADM3
MIANWALI,,9618217B65266278076043,PAK,ADM3
PIPLAN,,9618217B68184335330032,PAK,ADM3
JALALPUR PIRWALA,,9618217B31922989657242,PAK,ADM3
MULTAN CITY,,9618217B19745651984550,PAK,ADM3
MULTAN SADDAR,,9618217B64443475206823,PAK,ADM3
SHUJABAD,,9618217B57733979700194,PAK,ADM3
ALIPUR,,9618217B236770974659,PAK,ADM3
JATOI,,9618217B43446493864836,PAK,ADM3
KOT ADDU,,9618217B46714791587847,PAK,ADM3
MUZAFFARGARH,,9618217B91139491095405,PAK,ADM3
NANKANA SAHAB,,9618217B3385172362302,PAK,ADM3
SAFDARABAD,,9618217B66038883173745,PAK,ADM3
SHAH KOT,,9618217B41899806031215,PAK,ADM3
SHANGLA HILL,,9618217B78084704916934,PAK,ADM3
NAROWAL,,9618217B85928513118667,PAK,ADM3
SHAKARGARH,,9618217B39920522607459,PAK,ADM3
ZAFARWAL,,9618217B81306509319870,PAK,ADM3
DEPALPUR,,9618217B85402434096341,PAK,ADM3
OKARA,,9618217B98814917393050,PAK,ADM3
RENALA KHURD,,9618217B92677290558981,PAK,ADM3
ARIFWALA,,9618217B11984200016747,PAK,ADM3
PAK PATTAN,,9618217B61411084403748,PAK,ADM3
KHAN PUR,,9618217B15784467436654,PAK,ADM3
LIAQAT PUR,,9618217B37482241380967,PAK,ADM3
RAHIM YAR KHAN,,9618217B89186195387307,PAK,ADM3
SADIQABAD,,9618217B8498662451827,PAK,ADM3
DE-EXCLUDED AREA RAJANPUR,,9618217B9124043146420,PAK,ADM3
JAMPUR,,9618217B75708704472060,PAK,ADM3
RAJANPUR,,9618217B96724689949262,PAK,ADM3
ROJHAN,,9618217B59000817640305,PAK,ADM3
GUJAR KHAN,,9618217B58788233354660,PAK,ADM3
KAHUTA,,9618217B27271024996955,PAK,ADM3
KALLAR SAYYEDAN,,9618217B54589023039311,PAK,ADM3
KOTLI SATTIAN,,9618217B3680329268285,PAK,ADM3
MURREE,,9618217B83104421984489,PAK,ADM3
RAWALPINDI,,9618217B34841225665801,PAK,ADM3
TAXILA,,9618217B28592687647846,PAK,ADM3
CHICHAWATNI,,9618217B28010935462292,PAK,ADM3
SAHIWAL,,9618217B88637585074135,PAK,ADM3
BHALWAL,,9618217B60331399748679,PAK,ADM3
KOT MOMIN,,9618217B54913600718425,PAK,ADM3
SAHIWAL,,9618217B37395969304858,PAK,ADM3
SARGODHA,,9618217B25240134101987,PAK,ADM3
SHAHPUR,,9618217B47532492281594,PAK,ADM3
SILLANWALI,,9618217B39999757497454,PAK,ADM3
FEROZEWALA,,9618217B78613038993344,PAK,ADM3
MURIDKE,,9618217B25351305355541,PAK,ADM3
SHARAK PUR,,9618217B71742610929001,PAK,ADM3
SHEIKHUPURA,,9618217B80377872224855,PAK,ADM3
DASKA,,9618217B49647722436552,PAK,ADM3
PASRUR,,9618217B59820493505708,PAK,ADM3
SAMBRIAL,,9618217B70438886719057,PAK,ADM3
SIALKOT,,9618217B70755531760277,PAK,ADM3
GOJRA,,9618217B50459917366598,PAK,ADM3
TOBA TEK SINGH,,9618217B75645786673360,PAK,ADM3
BUREWALA,,9618217B87041756430963,PAK,ADM3
MAILSI,,9618217B95257720392722,PAK,ADM3
VEHARI,,9618217B94265180885968,PAK,ADM3
Badin,,9618217B42438762041425,PAK,ADM3
Matli,,9618217B51119306822374,PAK,ADM3
Shaheed Fazal Rahu,,9618217B25857994222098,PAK,ADM3
Talhar,,9618217B40875149607138,PAK,ADM3
Tando Bago,,9618217B60721372567355,PAK,ADM3
DADU,,9618217B7115873754530,PAK,ADM3
JOHI,,9618217B70790113171892,PAK,ADM3
KHAIRPUR NATHAN SHAH,,9618217B45890743743061,PAK,ADM3
MEHAR,,9618217B39967878013350,PAK,ADM3
DAHARKI,,9618217B21460846200179,PAK,ADM3
GHOTKI,,9618217B1460109099825,PAK,ADM3
KHANGARH,,9618217B63149022343759,PAK,ADM3
MIRPUR MATHELO,,9618217B36535563293418,PAK,ADM3
UBAURO,,9618217B13430994189110,PAK,ADM3
HYDERABAD,,9618217B53021961386210,PAK,ADM3
LATIFABAD,,9618217B85288636963898,PAK,ADM3
QASIMABAD,,9618217B89933783783343,PAK,ADM3
GARHI KHAIRO,,9618217B19185229055328,PAK,ADM3
JACOBABAD,,9618217B94384438441971,PAK,ADM3
THUL,,9618217B45730721811496,PAK,ADM3
KOTRI,,9618217B87538747541891,PAK,ADM3
MANJAND,,9618217B57194515605983,PAK,ADM3
SEHWAN,,9618217B91266058223820,PAK,ADM3
THANO BULA KHAN,,9618217B45415360281153,PAK,ADM3
KANDHKOT,,9618217B15678878518625,PAK,ADM3
KASHMORE,,9618217B20201553846238,PAK,ADM3
TANGWANI,,9618217B6098151019348,PAK,ADM3
FAIZ GANJ,,9618217B41613201463126,PAK,ADM3
GAMBAT,,9618217B55753153064418,PAK,ADM3
KHAIRPUR,,9618217B61566753463089,PAK,ADM3
KINGRI,,9618217B63818850525327,PAK,ADM3
KOT DIJI,,9618217B94972393484147,PAK,ADM3
MIRWAH,,9618217B14625320962806,PAK,ADM3
NARA,,9618217B45979968015680,PAK,ADM3
SOBHO DERO,,9618217B20409854578986,PAK,ADM3
BAKRANI TALUKS,,9618217B93929930107410,PAK,ADM3
DOKRI,,9618217B45151576893474,PAK,ADM3
LARKANA,,9618217B49297858238659,PAK,ADM3
RATODERO,,9618217B19893044532303,PAK,ADM3
HALA,,9618217B17233619866679,PAK,ADM3
MATIARI,,9618217B46709671156622,PAK,ADM3
SAEEDABAD,,9618217B1054056292153,PAK,ADM3
DIGRI,,9618217B41760593982752,PAK,ADM3
HUSSAIN BUX MARI,,9618217B93086233155793,PAK,ADM3
JHUDO,,9618217B31440526169514,PAK,ADM3
KOT GHULAM MUHAMMAD,,9618217B35389385843798,PAK,ADM3
MIRPURKHAS,,9618217B77511770733400,PAK,ADM3
SINDHRI,,9618217B29212550094263,PAK,ADM3
BHIRIA,,9618217B62868670592132,PAK,ADM3
KANDIARO,,9618217B6102619181419,PAK,ADM3
MEHRABPUR,,9618217B49652450587085,PAK,ADM3
MORO,,9618217B49576506361166,PAK,ADM3
NAUSHAHRO FEROZE,,9618217B86325725755711,PAK,ADM3
JAM NAWAZ ALI,,9618217B28490473893674,PAK,ADM3
KHIPRO,,9618217B44887302893578,PAK,ADM3
SANGHAR,,9618217B60302584409093,PAK,ADM3
SHAHDADPUR,,9618217B55526375185371,PAK,ADM3
SINJHORO,,9618217B1648155290969,PAK,ADM3
TANDO ADAM,,9618217B2465642186397,PAK,ADM3
KAMBAR ALI KHAN,,9618217B51536377015215,PAK,ADM3
MIRO KHAN,,9618217B27710866346662,PAK,ADM3
NASIRABAD,,9618217B23821866860121,PAK,ADM3
QUBO SAEED KHAN,,9618217B39832154978161,PAK,ADM3
SHAHDAD KOT,,9618217B53525514114395,PAK,ADM3
SIJAWAL JUNEJO,,9618217B35051011521012,PAK,ADM3
WARAH,,9618217B29537584943692,PAK,ADM3
DAUR,,9618217B68332779082048,PAK,ADM3
KAZI AHMED,,9618217B90267247326285,PAK,ADM3
NAWABSHAH,,9618217B40348494401559,PAK,ADM3
SAKRAND,,9618217B26544840461255,PAK,ADM3
